AndroRAT|AndroRAT|Remote_Administration_Toolkit|https://github.com/The404Hacking/AndroRAT|git|java,git|
serpentine|serpentine|Remote_Administration_Toolkit|https://github.com/jafarlihi/serpentine|git|c++,java|
n00bRAT|n00bRAT|Remote_Administration_Toolkit|https://github.com/abhishekkr/n00bRAT|git|git,make|
CHAOS|CHAOS|Remote_Administration_Toolkit|https://github.com/tiagorlampert/CHAOS|git|go,nodejs
MrAToolbox|MrAToolbox|Remote_Administration_Toolkit|https://github.com/wasserja/MrAToolbox|git|powershell
Stitch|Stitch|Remote_Administration_Toolkit|https://github.com/nathanlopez/Stitch|git|python,c++
Pupy|Pupy|Remote_Administration_Toolkit|https://github.com/n1nj4sec/pupy|git|python,c,go,make
TheFatRat|TheFatRat|Remote_Administration_Toolkit|https://github.com/screetsec/TheFatRat|git|c,python,ruby,cpp
Rat|Rat|Remote_Administration_Toolkit|https://github.com/ericfreese/rat|git|go,perl
AsyncRAT-C-Sharp|AsyncRAT-C-Sharp|Remote_Administration_Toolkit|https://github.com/NYAN-x-CAT/AsyncRAT-C-Sharp|git|csharp
Khepri|Khepri|Remote_Administration_Toolkit|https://github.com/geemion/Khepri|git|go,cmake,c,cpp
Ghost|Ghost|Remote_Administration_Toolkit|https://github.com/EntySec/Ghost|git|python
Quasar|Quasar|Remote_Administration_Toolkit|https://github.com/quasar/Quasar|git|csharp
Ghost_AHXR|Ghost|Remote_Administration_Toolkit|https://github.com/AHXR/ghost|git|c,cpp
RAT-via-Telegram|RAT-via-Telegram|Remote_Administration_Toolkit|https://github.com/mvrozanti/RAT-via-Telegram|git|python
ToRat|ToRat|Remote_Administration_Toolkit|https://github.com/lu4p/ToRat|git|go,docker
emp3r0r|emp3r0r|Remote_Administration_Toolkit|https://github.com/jm33-m0/emp3r0r|git|go,python,c,
AndroRAT_karma9874|AndroRAT|Remote_Administration_Toolkit|https://github.com/karma9874/AndroRAT|git|python,java
Powershell-RAT|Powershell-RAT|Remote_Administration_Toolkit|https://github.com/Viralmaniar/Powershell-RAT|git|python,powershell
Kage|Kage|Remote_Administration_Toolkit|https://github.com/Zerx0r/Kage|git|vue,node
LimeRAT|LimeRAT|Remote_Administration_Toolkit|https://github.com/NYAN-x-CAT/Lime-RAT|git|visual
Ohm|Ohm|Remote_Administration_Toolkit|https://github.com/Th30neAnd0nly/Ohm|git|node
NetWorm|NetWorm|Remote_Administration_Toolkit|https://github.com/pylyf/NetWorm|git|python
DiscordRAT|DiscordRAT|Remote_Administration_Toolkit|https://github.com/Sp00p64/DiscordRAT|git|python
VanillaRAT|VanillaRAT|Remote_Administration_Toolkit|https://github.com/DannyTheSloth/VanillaRAT|git|csharp
RATel|RATel|Remote_Administration_Toolkit|https://github.com/FrenchCisco/RATel|git|python,c,cpp
Social_X|Social_X|Remote_Administration_Toolkit|https://github.com/AzizKpln/Social_X|git|zsh
Orcus-1.9.1-src|Orcus-1.9.1-src|Remote_Administration_Toolkit|https://github.com/void-stack/Orcus-1.9.1-src|git|csharp,php
Lockdoor-Framework|Lockdoor-Framework|Remote_Administration_Toolkit|https://github.com/SofianeHamlaoui/Lockdoor-Framework|git|python,lex,zsh,make
